kodcobce;nazcobce;psc;kodobce;nazobce;kodokresu;nazokresu;kodkraj;nazevkraj;kodmomc;nazmomc;kodpobvod;nazpobvod
195901;elechovice nad Døevnicí;76311;500011;elechovice nad Døevnicí;3705;Zlín;141;Zlínskı;;;;
119792;Petrov nad Desnou;78814;500020;Petrov nad Desnou;3809;Šumperk;124;Olomouckı;;;;
119792;Petrov nad Desnou;78816;500020;Petrov nad Desnou;3809;Šumperk;124;Olomouckı;;;;
82686;Libhoš;74257;500046;Libhoš;3804;Novı Jièín;132;Moravskoslezskı;;;;
176508;Krhová;75663;500062;Krhová;3810;Vsetín;141;Zlínskı;;;;
125458;Polièná;75701;500071;Polièná;3810;Vsetín;141;Zlínskı;;;;
317934;Braec;36471;500101;Braec;3403;Karlovy Vary;51;Karlovarskı;;;;
317942;Dolní Lomnice;36272;500127;Doupovské Hradištì;3403;Karlovy Vary;51;Karlovarskı;;;;
320676;Kozlov;78357;500135;Kozlov;3805;Olomouc;124;Olomouckı;;;;
320692;Slavkov;75131;500135;Kozlov;3805;Olomouc;124;Olomouckı;;;;
320684;Lubomìø pod Stránou;75362;500151;Lubomìø pod Stránou;3808;Pøerov;124;Olomouckı;;;;
320668;Heroltovice;78307;500160;Mìsto Libavá;3805;Olomouc;124;Olomouckı;;;;
330469;Polná na Šumavì;38229;500194;Polná na Šumavì;3302;Èeskı Krumlov;35;Jihoèeskı;;;;
180360;Veøovice;74273;500259;Veøovice;3804;Novı Jièín;132;Moravskoslezskı;;;;
186686;Vøesina;74285;500291;Vøesina;3807;Ostrava-mìsto;132;Moravskoslezskı;;;;
102351;Nedvìzí;77900;500496;Olomouc;3805;Olomouc;124;Olomouckı;;;;
103101;Nemilany;78301;500496;Olomouc;3805;Olomouc;124;Olomouckı;;;;
52418;Chomoutov;78335;500496;Olomouc;3805;Olomouc;124;Olomouckı;;;;
413666;Bìlkovice-Lašany;78316;500526;Bìlkovice-Lašany;3805;Olomouc;124;Olomouckı;;;;
145599;Èervená Lhota;78321;500623;Bílá Lhota;3805;Olomouc;124;Olomouckı;;;;
3972;Hradeèná;78324;500623;Bílá Lhota;3805;Olomouc;124;Olomouckı;;;;
5207;Blatec;78375;500801;Blatec;3805;Olomouc;124;Olomouckı;;;;
6432;Bohuòovice;78314;500852;Bohuòovice;3805;Olomouc;124;Olomouckı;;;;
124281;Obectov;78325;500861;Bouzov;3805;Olomouc;124;Olomouckı;;;;
26441;Dlouhá Louèka;78386;501476;Dlouhá Louèka;3805;Olomouc;124;Olomouckı;;;;
31470;Drahanovice;78344;501751;Drahanovice;3805;Olomouc;124;Olomouckı;;;;
36269;Grygov;78373;501841;Grygov;3805;Olomouc;124;Olomouckı;;;;
100137;Mariánské Údolí;78365;502146;Hluboèky;3805;Olomouc;124;Olomouckı;;;;
39527;Hluboèky;78361;502146;Hluboèky;3805;Olomouc;124;Olomouckı;;;;
40151;Hnìvotín;78347;502235;Hnìvotín;3805;Olomouc;124;Olomouckı;;;;
40169;Hnojice;78501;502405;Hnojice;3805;Olomouc;124;Olomouckı;;;;
52353;Cholina;78322;502839;Cholina;3805;Olomouc;124;Olomouckı;;;;
197271;Pojedy;28934;503410;itovlice;3208;Nymburk;27;Støedoèeskı;;;;
174327;Bøezové;78401;503444;Litovel;3805;Olomouc;124;Olomouckı;;;;
169366;Tøebèín;78342;503657;Lutín;3805;Olomouc;124;Olomouckı;;;;
89125;Lutín;78349;503657;Lutín;3805;Olomouc;124;Olomouckı;;;;
89923;Majetín;75103;503738;Majetín;3805;Olomouc;124;Olomouckı;;;;
116076;Ostrov u Støíbra;34901;503916;Kostelec;3410;Tachov;43;Plzeòskı;;;;
116084;Popov;33023;503916;Kostelec;3410;Tachov;43;Plzeòskı;;;;
32832;Døenice;53701;504301;Døenice;3603;Chrudim;94;Pardubickı;;;;
101389;Lhota nad Moravou;78332;504441;Náklo;3805;Olomouc;124;Olomouckı;;;;
118168;Paseka;78397;504785;Paseka;3805;Olomouc;124;Olomouckı;;;;
177610;Dvakaèovice;53862;504955;Dvakaèovice;3603;Chrudim;94;Pardubickı;;;;
4880;Bítovánky;53851;505005;Bítovany;3603;Chrudim;94;Pardubickı;;;;
135992;Hynkov;78333;505013;Pøíkazy;3805;Olomouc;124;Olomouckı;;;;
147451;Senice na Hané;78345;505081;Senice na Hané;3805;Olomouc;124;Olomouckı;;;;
196568;Èervená Hora;54941;505099;Èervená Hora;3605;Náchod;86;Královéhradeckı;;;;
14729;Bøezová nad Svitavou;56902;505145;Bøezová nad Svitavou;3609;Svitavy;94;Pardubickı;;;;
163414;Bøezce;78313;505161;Štìpánov;3805;Olomouc;124;Olomouckı;;;;
13838;Bøevenec;78385;505218;Šumvald;3805;Olomouc;124;Olomouckı;;;;
139645;Rataje;78346;505269;Tìšetice;3805;Olomouc;124;Olomouckı;;;;
120952;Pískov;78383;505293;Troubelice;3805;Olomouc;124;Olomouckı;;;;
1791;Bìlá u Jevíèka;56943;505391;Bìlá u Jevíèka;3609;Svitavy;94;Pardubickı;;;;
173738;Haukovice;78396;505501;Újezd;3805;Olomouc;124;Olomouckı;;;;
58254;Jenèice;41115;505528;Jenèice;3506;Litomìøice;60;Ústeckı;;;;
140139;Dìtøichov;78391;505587;Unièov;3805;Olomouc;124;Olomouckı;;;;
178284;Velká Bystøice;78353;505609;Velká Bystøice;3805;Olomouc;124;Olomouckı;;;;
179787;Velkı Tınec;78372;505650;Velkı Tınec;3805;Olomouc;124;Olomouckı;;;;
179795;Velkı Újezd;78355;505668;Velkı Újezd;3805;Olomouc;124;Olomouckı;;;;
9229;Zápy;25001;505781;Zápy;3209;Praha-vıchod;27;Støedoèeskı;;;;
111732;Jaktaø;74601;505927;Opava;3806;Opava;132;Moravskoslezskı;555321;Opava (neèlenìná èást mìsta);;
111732;Jaktaø;74707;505927;Opava;3806;Opava;132;Moravskoslezskı;555321;Opava (neèlenìná èást mìsta);;
111864;Komárovské Chaloupky;74706;505927;Opava;3806;Opava;132;Moravskoslezskı;555401;Podvihov;;
111872;Malé Hoštice;74705;505927;Opava;3806;Opava;132;Moravskoslezskı;555339;Malé Hoštice;;
111881;Pusté Jakartice;74728;505927;Opava;3806;Opava;132;Moravskoslezskı;555339;Malé Hoštice;;
159182;Suché Lazce;74795;505927;Opava;3806;Opava;132;Moravskoslezskı;555371;Suché Lazce;;
177199;Vávrovice;74773;505927;Opava;3806;Opava;132;Moravskoslezskı;556700;Vávrovice;;
413917;Komárov;74770;505927;Opava;3806;Opava;132;Moravskoslezskı;555355;Komárov;;
6521;Bohuslavice;74719;506192;Bohuslavice;3806;Opava;132;Moravskoslezskı;;;;
6980;Bolatice;74723;506214;Bolatice;3806;Opava;132;Moravskoslezskı;;;;
13102;Brumovice;74771;506320;Brumovice;3806;Opava;132;Moravskoslezskı;;;;
14711;Bøezová;74744;506451;Bøezová;3806;Opava;132;Moravskoslezskı;;;;
123919;Podlesí;74787;506460;Budišov nad Budišovkou;3806;Opava;132;Moravskoslezskı;;;;
405710;Ryovna;36262;506486;Boí Dar;3403;Karlovy Vary;51;Karlovarskı;;;;
106160;Nové Hamry;36221;506494;Nové Hamry;3403;Karlovy Vary;51;Karlovarskı;;;;
23728;Èichalov;36452;506621;Èichalov;3403;Karlovy Vary;51;Karlovarskı;;;;
55557;Mokrá;36453;506621;Èichalov;3403;Karlovy Vary;51;Karlovarskı;;;;
148547;Skoøice;33843;506664;Skoøice;3408;Rokycany;43;Plzeòskı;;;;
138941;Otmarov;66457;506699;Otmarov;3703;Brno-venkov;116;Jihomoravskı;;;;
189413;Zábøeh;74722;506702;Dolní Benešov;3806;Opava;132;Moravskoslezskı;;;;
