Zip,geo_x,geo_y
10000,50.0036,14.4619
10100,50.0036,14.4619
10200,50.0667,14.55
10300,50.0167,14.65
10400,50.0333,14.6
10600,50.0036,14.4619
10700,49.6333,12.7167
10800,50.0036,14.4619
10900,50.05,14.5667
11000,50.3667,16.0417
11800,50.3667,16.0417
11900,50.3667,16.0417
12000,50.0783,14.4209
12800,50.0646,14.4399
13000,50.0877,14.5212
14000,50.0712,14.2758
14100,50.0712,14.2758
14200,49.9667,14.3778
14300,49.9667,14.4333
14700,50.0333,14.4167
14800,50.8167,14.4167
14900,49.85,14.2056
15000,50.0583,14.3917
15200,50.0333,14.4
15300,49.65,14.6
15400,50.0167,14.3667
15500,50.05,14.2833
15521,50.0667,14.2833
15531,49.95,14.3833
15600,48.6333,14.4333
15800,50.05,14.3667
15900,50,14.3917
16000,50.1,14.3333
16100,50.0833,14.3167
16200,50.1,14.35
16300,50.0667,14.3
16400,50.1167,14.3
16500,50.1333,14.3667
16900,50.1133,14.35
17000,50.1013,14.45
17100,50.1179,14.417
18000,49.9738,14.819
18100,50.1333,14.4167
18200,50.1444,14.4833
18400,50.15,14.45
18600,48.9667,16.9833
19000,50.1167,14.5
19011,50.0833,14.6167
19012,50.0833,14.5833
19014,50.1,14.6667
19015,50.1167,14.5833
19016,50.0833,14.6667
19017,50.15,14.6
19300,50.1167,14.6333
19600,50.15,14.55
19700,49.5667,13.6333
19800,50.1,14.5667
19900,50.1333,14.5167
25167,49.8833,14.6833
25208,49.8,14.4667
25601,49.7667,14.6333
25701,49.6833,14.7667
25703,49.6333,14.7
25706,49.6167,14.8
25708,49.5833,14.8833
25709,49.6333,14.95
25721,49.8333,14.6833
25722,49.85,14.65
25723,49.95,14.7167
25724,49.8333,14.8167
25725,49.6833,15.6167
25726,49.7833,14.85
25728,49.75,14.8167
25741,49.85,14.5833
25742,49.85,14.55
25744,49.8167,14.5
25751,49.6833,14.6833
25753,49.6667,14.5333
25755,49.7167,14.5667
25756,49.7833,14.5333
25762,49.7167,14.95
25763,49.7833,14.9833
25764,49.6833,14.9833
25765,49.6667,15.1
25766,49.6333,15.1
25768,49.7,15.15
25771,49.7333,15.0667
25786,49.55,14.6333
25787,49.5333,14.6167
25788,49.55,14.6
25789,49.5833,14.6
25791,49.5833,14.5667
25792,49.5833,14.55
25801,49.7333,14.9
25901,49.6333,14.6167
26401,49.6167,14.5
28506,49.85,14.8833
28509,49.775,15.0333
26601,49.9848,14.097
26701,49.9333,14
26703,49.9833,13.95
26705,50.0167,13.9667
26706,49.9833,14.05
26707,50.0167,14.0833
26711,49.9833,14.1333
26712,49.9833,14.1667
26716,50,14.2
26717,49.95,14.2167
26718,49.9333,14.1833
26721,49.9,14.0333
26722,49.9,14.0667
26723,49.8667,14
26724,49.85,14.05
26725,49.85,14.1
26726,49.8833,14.1167
26727,49.9167,14.1
26728,49.9,14.1833
26729,49.9167,14.2167
26741,49.95,13.8833
26742,49.95,13.85
26743,49.9,13.8667
26751,49.8833,13.9667
26753,49.8667,13.9
26754,49.8667,13.9333
26761,49.8667,13.8333
26762,49.8,13.85
26763,49.7667,13.85
26764,49.7833,13.8167
26801,49.8333,13.95
27201,50.1333,14.1167
27203,50.1667,14.15
27204,50.1333,14.0833
27301,50.0833,14.0167
27302,50.15,14.0167
27303,50.15,13.95
27304,50.1833,13.9833
27305,50.2,14.05
27306,50.1833,14.0833
27307,50.1833,14.0833
27308,50.2,14.1
27309,50.1667,14.1333
27321,50.2833,14.1667
27322,50.3167,14.1667
27323,50.3,14.2
27324,50.2833,14.2
27325,50.2167,14.1667
27326,50.2333,14.2167
27327,50.2167,14.2667
27328,50.2167,14.2333
27329,50.2,14.2333
27341,50.1833,14.15
27342,50.1667,14.25
27343,50.15,14.1833
27345,50.1333,14.15
27351,50.0667,14.0833
27353,50.1333,14.2333
27354,50.1333,14.2
27361,50.1,14.0667
27362,50.0833,14.0333
27363,50.0667,14
27364,50.1167,14.05
27371,50.2833,14.0667
27372,50.3167,14.1167
27373,50.3333,14.0167
27374,50.2667,13.9167
27375,50.2667,14
27376,50.2333,13.9333
27377,50.2167,13.9833
27378,50.2333,13.9667
27379,50.25,14.0333
27401,50.2333,14.1
